epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_score,val_score
1,0.935907855629921,0.2795095443725586,0.6141304347826086,1.0,0.3757088846880907,1.0
2,0.434305377304554,0.034594494849443436,0.842391304347826,1.0,0.7093572778827977,1.0
3,0.25479640314976376,0.1768384724855423,0.8804347826086957,0.8214285714285714,0.7709120982986768,0.0
4,0.20002523561318716,0.09254880994558334,0.9239130434782609,1.0,0.8531427221172023,1.0
5,0.18237249180674553,0.13681206107139587,0.9239130434782609,0.8928571428571429,0.8531427221172023,0.8695652173913043
6,0.13806731874744096,0.11617227643728256,0.9565217391304348,0.9285714285714286,0.9149338374291115,0.9130434782608695
